customerCode,customerName,customerNotes
COCH2U,Cochlear Limited,
COCH4U,Cochlear Limited,
COCO08,Castle Contracting Pty Ltd,
COELS,Combined Electrical Services,
COEN0,Contact Energy,
COGB8,City of Greater Bendigo,
COGI2,Corey Gibson,
COLT2,Colterlec Pty Ltd,
COMA6,Comap Pty Ltd,
COME4,Computer Merchants Pty Ltd,
COMG8,City of Mount Gambier,
COMTDA,Comtec Data Pty Ltd,
CONA2,Consoft Automation Pty Ltd,
CONEA2,Controlled Earthworks Pty Ltd,
CONR2,Contract Resources,
COPL8,Nationwide Traffic Surveys Pty Ltd,
COSC2,Cobar Shire & TAFE Library,
COSC6,Geoscan Pty Ltd,
COSO6,Connect Source,
COSW6,City of Swan,
COSYN2U,Control Synergy Pty Ltd,
COTE2,Cognian Technologies,
COTE2U,Cognian Technologies,
COVS8,Retpro Management Pl Corio Villange Shopping Centre,
COWO2,Concrete World Industries,
COWO8,City of Wodonga,
CPAE2,Complete Parts & Equipment,
CPAE8,City of Port Adelaide - Enfield,
CPBSAM,John Holland CPB Contractors,
CPGR6,Ches Power Group Pty Ltd,
CQLD8C,Sunnyside Mall (Do not use),
CQPI4,CQ Pump And Irrigation,10% Trade
CRAM2,Cram Fluid Power Pty Ltd,
CRBE5,Crowell Benson & Co Pty Ltd,
CRES2,Capabilities Resources,
CRGT8,CRG Traffic & Acoustics Pty Ltd,
CRSL8,Caloundra Sub-Branch RSL Club,
CRSV8,CREDIBLE SECURITY AND VISION,
CRWH4,Cruise Whitsundays,
CSCO2D,Cowra Shire Council,
CSCO8,CARDWELL SHIRE COUNCIL,
CSCO8A,Carrathool Shire Council,
CSCO8B,Cook Shire Council,
CSHCO8,THE TRUSTEE FOR THE NEW SOUTH WALES (NSW) CASH CONVERTERS UNIT TRUST,
CSHCO8-2500-001,Cash Converters Wollongong,
CSIT4,Cairns SIM Trans Pty Ltd,
CSSO3,Central Systems Solutions,
CTCO2,Country Traders & Construction,
CTSC8,QIC Ltd Aft QIC Castle Towers,
CUCO3,Current Consulting P/L,
CUCP4,CUC Pty Ltd,
CUFL4,Custom Fluid Power,
CUSP0,Cummins South Pacific Pty Ltd,45% trade discount
CUTECU,Cubic Technologies Singapore Pte Ltd,
CUUN8,Curtin University,
CWAW8,Wagga  Wagga City Council,
CWBL4,Custom Water Blasters,
CWDI2,Central West Diesel,
CWPL8,Central West Shopping Centre,
CWSE2,Central Wide Services,
CYBE0,Cyber Media Sarl,
CYBE0A,Cyber Media Sarl,
DAGR2,Davcor Group,
